age,gender,race,experience,qualification,salary_high
60,Female,White,36,Bachelor,1
50,Female,White,30,High School,0
36,Female,Hispanic,14,PhD,0
64,Male,Asian,40,Bachelor,1
29,Male,Asian,7,PhD,0
42,Male,Hispanic,19,PhD,0
60,Female,White,39,High School,0
40,Female,White,16,Bachelor,0
44,Male,White,23,Bachelor,0
32,Female,White,8,Bachelor,0
32,Male,White,12,Bachelor,0
45,Female,White,25,PhD,1
57,Male,White,33,Master,1
61,Male,White,40,High School,1
45,Male,White,21,High School,0
24,Male,White,1,Bachelor,0
43,Male,Hispanic,23,High School,0
23,Male,Asian,0,Master,0
45,Female,Hispanic,25,Bachelor,0
51,Female,White,31,Bachelor,0
59,Male,White,37,High School,1
23,Female,Asian,0,Master,0
42,Female,White,19,High School,0
54,Male,White,32,Master,1
33,Male,White,12,Bachelor,0
43,Male,White,20,Master,0
46,Male,White,22,Bachelor,0
48,Female,White,26,High School,0
63,Male,Black,40,Master,1
49,Female,White,28,High School,0
37,Female,White,14,Bachelor,0
36,Male,Asian,16,High School,0
24,Female,White,0,Master,0
58,Male,White,36,PhD,1
28,Female,Asian,8,Bachelor,0
42,Male,White,21,Bachelor,0
30,Female,White,10,Master,0
60,Female,White,40,High School,1
39,Male,White,18,PhD,0
25,Female,White,5,High School,0
46,Female,Asian,24,PhD,0
35,Female,White,12,Master,0
30,Female,White,10,Master,0
47,Female,White,25,Bachelor,0
23,Male,White,0,Bachelor,0
41,Male,Black,18,Bachelor,0
49,Female,White,29,High School,0
28,Male,White,6,Bachelor,0
29,Female,White,9,Bachelor,0
56,Female,White,35,Master,1
35,Male,White,12,Bachelor,0
38,Male,Asian,18,High School,0
57,Female,White,34,Bachelor,0
61,Male,White,39,Bachelor,1
25,Female,White,1,High School,0
23,Male,Black,3,High School,0
27,Female,White,7,Master,0
63,Male,Black,40,Bachelor,1
25,Female,Asian,3,Bachelor,0
50,Male,Asian,29,Bachelor,0
39,Female,White,17,Master,0
47,Male,White,27,High School,0
55,Female,Asian,34,Master,0
31,Female,Hispanic,9,High School,0
57,Male,Asian,33,Master,1
35,Male,White,12,Bachelor,0
52,Male,White,30,Bachelor,1
36,Female,White,14,Bachelor,0
29,Female,Black,5,Bachelor,0
35,Female,White,15,High School,0
44,Male,White,21,Master,0
61,Male,Asian,39,High School,1
42,Female,White,21,PhD,0
37,Male,Asian,15,Master,0
39,Female,White,16,Bachelor,0
45,Male,White,23,Master,1
47,Female,White,23,Bachelor,0
46,Male,Asian,24,High School,0
62,Male,White,40,PhD,1
50,Female,White,29,Bachelor,0
36,Female,Hispanic,12,Bachelor,0
22,Female,White,0,Bachelor,0
46,Male,White,24,Bachelor,0
28,Male,White,7,PhD,0
30,Female,White,8,High School,0
45,Female,Black,23,Bachelor,0
22,Male,White,0,Bachelor,0
29,Male,White,6,Bachelor,0
45,Male,White,24,Bachelor,0
32,Female,Black,12,High School,0
38,Male,White,15,High School,0
29,Male,White,9,High School,0
56,Male,White,32,PhD,1
56,Male,White,33,High School,0
54,Male,White,31,Master,1
26,Female,White,5,Master,0
63,Male,Asian,40,Master,1
60,Female,White,37,Master,1
62,Male,Hispanic,39,High School,1
49,Female,Hispanic,28,High School,0
28,Female,White,7,Bachelor,0
30,Female,White,10,High School,0
29,Female,White,5,Master,0
33,Male,Asian,9,Bachelor,0
55,Male,White,33,Master,1
54,Female,White,31,High School,0
44,Female,White,24,PhD,1
45,Female,Asian,22,High School,0
58,Female,Asian,38,Bachelor,0
56,Female,White,36,Bachelor,1
61,Male,Black,40,Master,1
43,Male,White,20,Bachelor,0
48,Female,White,27,PhD,1
56,Female,Asian,33,PhD,1
22,Male,White,2,Master,0
56,Female,White,34,High School,0
58,Male,White,34,Master,1
35,Female,Asian,15,Master,0
24,Male,Asian,2,High School,0
22,Male,Black,1,High School,0
26,Female,Asian,6,High School,0
47,Male,White,25,High School,0
35,Female,White,15,Bachelor,0
60,Female,White,37,PhD,1
48,Female,White,26,Bachelor,0
30,Male,White,7,Bachelor,0
36,Male,Hispanic,13,PhD,0
36,Male,White,14,High School,0
47,Female,White,23,Master,0
63,Female,White,40,Bachelor,1
34,Female,White,10,Bachelor,0
53,Female,Hispanic,33,Bachelor,0
60,Female,White,40,Bachelor,1
53,Female,White,31,High School,0
25,Male,Asian,5,Master,0
51,Female,White,30,High School,0
58,Male,White,35,Master,1
44,Female,White,21,Bachelor,0
60,Female,White,36,High School,0
36,Female,Hispanic,16,Bachelor,0
64,Male,Asian,40,High School,1
50,Male,White,27,Master,1
57,Male,Asian,34,PhD,1
34,Male,White,14,Master,0
53,Male,White,32,High School,1
28,Female,White,7,Bachelor,0
43,Female,White,23,Bachelor,0
49,Male,White,29,Master,1
23,Male,Black,0,High School,0
63,Male,Hispanic,40,Bachelor,1
27,Female,White,6,Bachelor,0
49,Female,White,29,High School,0
49,Female,White,25,Bachelor,0
41,Male,White,17,Bachelor,0
51,Female,White,27,Master,1
32,Female,White,8,PhD,0
49,Male,Asian,27,Bachelor,1
46,Female,White,26,Bachelor,0
60,Male,White,37,High School,1
54,Female,White,34,PhD,1
22,Male,White,0,PhD,0
48,Female,White,24,PhD,0
34,Female,Black,12,Master,0
62,Female,White,40,Bachelor,1
24,Female,Black,3,Master,0
60,Male,White,40,Bachelor,1
27,Male,White,7,Bachelor,0
29,Male,White,6,Master,0
48,Male,Asian,25,High School,0
30,Female,White,9,High School,0
58,Male,Asian,34,Bachelor,1
54,Female,White,32,Bachelor,1
63,Female,Asian,40,Master,1
45,Female,White,22,High School,0
36,Male,Black,12,High School,0
53,Female,White,29,High School,0
53,Female,Hispanic,33,High School,0
45,Male,White,23,High School,0
62,Female,White,38,Bachelor,1
33,Female,White,10,Bachelor,0
60,Male,Asian,37,Master,1
23,Female,White,2,PhD,0
24,Male,Asian,0,Bachelor,0
58,Male,White,38,High School,1
38,Male,White,16,High School,0
23,Male,White,3,Master,0
23,Male,Hispanic,0,Bachelor,0
49,Male,Black,29,Master,1
44,Female,Hispanic,21,Master,0
58,Female,White,35,PhD,1
53,Female,Black,30,PhD,1
54,Male,Black,31,Bachelor,1
22,Male,White,0,Bachelor,0
40,Female,Asian,19,PhD,0
23,Male,Hispanic,3,Bachelor,0
47,Male,Asian,26,High School,0
53,Female,Black,32,Bachelor,0
27,Male,White,3,Bachelor,0
53,Female,White,29,Master,1
25,Female,Hispanic,1,Bachelor,0
32,Male,White,10,Bachelor,0
38,Male,Black,14,PhD,0
59,Female,Black,39,Master,1
45,Male,Black,24,Bachelor,0
26,Male,Hispanic,6,High School,0
55,Female,White,31,Bachelor,0
27,Male,White,5,Bachelor,0
43,Female,White,21,High School,0
32,Female,White,11,High School,0
37,Male,White,17,Master,0
54,Male,White,31,Bachelor,1
30,Male,Asian,10,Bachelor,0
27,Male,Hispanic,3,High School,0
37,Male,White,14,Bachelor,0
50,Female,White,28,Master,1
24,Male,Hispanic,3,High School,0
41,Female,White,20,High School,0
57,Female,White,35,Bachelor,0
40,Female,White,16,PhD,0
47,Female,White,25,Bachelor,0
24,Male,White,0,High School,0
40,Female,Hispanic,17,Bachelor,0
41,Female,White,19,Master,0
53,Male,White,29,High School,0
28,Male,White,5,Bachelor,0
62,Female,White,40,Bachelor,1
54,Male,Black,33,High School,1
61,Male,Asian,39,Master,1
60,Male,Asian,40,Master,1
39,Male,White,17,Bachelor,0
61,Female,Hispanic,40,High School,1
22,Female,Asian,0,High School,0
32,Female,Asian,10,Bachelor,0
49,Male,White,26,Bachelor,0
46,Male,White,23,High School,0
44,Male,White,20,High School,0
52,Male,Black,29,High School,0
51,Male,White,28,PhD,1
63,Female,White,40,Master,1
56,Male,Asian,34,PhD,1
28,Female,Asian,7,High School,0
37,Male,Hispanic,13,PhD,0
47,Male,White,24,High School,0
23,Male,Black,0,Bachelor,0
22,Female,White,2,Master,0
33,Female,White,10,Bachelor,0
26,Female,White,2,Bachelor,0
58,Male,White,37,High School,1
53,Male,White,32,High School,0
30,Female,Asian,7,Bachelor,0
62,Male,White,40,Bachelor,1
56,Female,Black,35,Master,1
40,Male,White,19,Bachelor,0
37,Male,White,17,Bachelor,0
24,Male,White,0,High School,0
41,Male,White,20,High School,0
45,Female,White,23,PhD,1
54,Male,White,33,High School,0
45,Male,White,21,Bachelor,0
32,Male,White,8,High School,0
29,Male,White,6,Master,0
57,Female,Hispanic,35,Master,1
59,Female,White,35,High School,0
61,Female,Black,40,High School,1
